Geracao,ID_Original,Cromossomo,Distancia_KM,Tempo_H,Pedagio_R$
58,98,2 - 7 - 8 - 4 - 5 - 9 - 6 - 3 - 1 - 0,366.06,72.00,318.00
58,99,5 - 8 - 7 - 9 - 6 - 3 - 0 - 1 - 2 - 4,370.00,76.50,300.00
59,0,7 - 8 - 3 - 0 - 1 - 2 - 4 - 5 - 9 - 6,372.28,68.00,375.00
59,1,5 - 9 - 6 - 3 - 1 - 0 - 2 - 4 - 8 - 7,364.34,79.00,313.00
59,2,1 - 3 - 2 - 7 - 8 - 5 - 4 - 9 - 6 - 0,415.69,92.00,205.00
59,3,8 - 5 - 4 - 6 - 9 - 3 - 0 - 1 - 2 - 7,424.26,85.50,217.00
59,4,5 - 8 - 7 - 2 - 1 - 3 - 0 - 6 - 9 - 4,414.03,93.50,210.00
59,5,7 - 8 - 3 - 0 - 1 - 2 - 4 - 5 - 9 - 6,372.28,68.00,375.00
59,6,1 - 3 - 2 - 4 - 5 - 8 - 7 - 6 - 9 - 0,391.36,84.00,275.00
59,7,8 - 7 - 5 - 4 - 9 - 6 - 3 - 0 - 1 - 2,408.91,88.50,225.00
59,8,4 - 9 - 6 - 3 - 1 - 0 - 2 - 8 - 7 - 5,406.12,92.00,216.00
59,9,1 - 3 - 2 - 4 - 5 - 8 - 7 - 6 - 9 - 0,391.36,84.00,275.00
59,10,5 - 9 - 6 - 8 - 7 - 3 - 0 - 1 - 2 - 4,378.60,68.00,371.00
59,11,5 - 9 - 6 - 3 - 0 - 1 - 2 - 7 - 8 - 4,368.86,68.50,327.00
59,12,5 - 8 - 7 - 6 - 9 - 3 - 0 - 1 - 2 - 4,384.35,75.50,287.00
59,13,2 - 7 - 8 - 4 - 5 - 9 - 6 - 3 - 1 - 0,366.06,72.00,318.00
59,14,8 - 7 - 4 - 5 - 9 - 6 - 3 - 0 - 1 - 2,375.24,68.50,325.00
59,15,5 - 8 - 7 - 9 - 6 - 3 - 0 - 1 - 2 - 4,370.00,76.50,300.00
59,16,1 - 3 - 2 - 4 - 5 - 8 - 7 - 9 - 6 - 0,376.59,82.00,285.00
59,17,6 - 9 - 3 - 0 - 1 - 2 - 7 - 8 - 5 - 4,424.26,85.50,217.00
59,18,4 - 5 - 9 - 6 - 0 - 1 - 3 - 2 - 8 - 7,381.84,74.00,310.00
59,19,5 - 9 - 6 - 3 - 1 - 0 - 2 - 4 - 8 - 7,364.34,79.00,313.00
59,20,4 - 6 - 9 - 3 - 1 - 0 - 2 - 7 - 8 - 5,421.46,89.00,208.00
